REF_AREA,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Ã˜sterrike,69.47837,69.38982,69.13481,68.7164
Belgia,61.76522,61.32958,61.43135,62.01562
Sveits,76.91756,76.21619,76.32296,76.20649
Colombia,71.98373,72.38702,73.23092,73.10714
Costa Rica,65.92355,66.6489,67.41822,68.38231
Tsjekkia,71.98578,71.96379,71.96608,72.17273
Tyskland,71.86002,71.84202,71.74142,71.68882
Danmark,72.20557,73.19534,73.40034,73.48382
Spania,62.00837,62.03446,62.39744,62.45475
Estland,71.33143,70.5168,71.20057,70.76474
EU27,66.54641,66.6033,66.66872,66.73255
Finland,64.42387,64.75299,64.07156,64.31565
Frankrike,61.72311,62.15807,62.4571,62.66357
Storbritannia,70.66296,70.32191,70.05317,70.34691
Hellas,62.20626,63.21264,63.46427,62.95728
Ungarn,70.52718,70.26736,70.25371,69.95198
Irland,72.608,72.60355,72.85715,73.1795
Island,82.04485,81.27875,83.04649,84.50749
Israel,67.70921,67.67665,67.83047,68.20348
Italia,62.45311,62.41011,62.57479,62.75134
Japan,78.96338,79.11767,79.15876,79.30822
Litauen,68.035,67.8558,68.16647,68.79758
Luxembourg,65.52122,66.0966,65.49137,64.83059
Latvia,66.75017,66.43204,66.9938,66.59882
Nederland,77.33443,77.32491,77.39645,77.09633
Norge,72.75306,72.24467,72.49422,72.37765
Polen,68.42706,68.35726,68.34445,68.52997
Portugal,65.96224,66.22469,66.50823,66.70654
Slovakia,67.89187,67.95081,67.85302,67.67899
Slovenia,66.69585,67.2019,66.36743,66.06014
Sverige,71.56583,71.27732,71.42691,70.73782
Tyrkia,68.33843,69.0881,69.21149,69.27108
USA,70.14812,70.06003,69.97795,69.9628
